name,nationality,role,base_price
Virat Kohli,India,Batsman,2Cr
Rohit Sharma,India,Batsman,2Cr
Jasprit Bumrah,India,Bowler,2Cr
MS Dhoni,India,Wicket-Keeper,1.5Cr
Ben Stokes,England,All-Rounder,1.5Cr
Pat Cummins,Australia,Bowler,1.5Cr
Babar Azam,Pakistan,Batsman,1.5Cr
Jos Buttler,England,Wicket-Keeper,1.5Cr
Rashid Khan,Afghanistan,Bowler,1.5Cr
David Warner,Australia,Batsman,1Cr
Glenn Maxwell,Australia,All-Rounder,1Cr
Hardik Pandya,India,All-Rounder,1Cr
Ravindra Jadeja,India,All-Rounder,1Cr
Shubman Gill,India,Batsman,1Cr
KL Rahul,India,Wicket-Keeper,1Cr
Trent Boult,New Zealand,Bowler,0.75Cr
Mark Wood,England,Bowler,0.75Cr
Faf du Plessis,South Africa,Batsman,0.75Cr
Nicholas Pooran,West Indies,Wicket-Keeper,0.75Cr
Suryakumar Yadav,India,Batsman,0.75Cr
